"epoch","noble-shadow-43 - _step","noble-shadow-43 - _step__MIN","noble-shadow-43 - _step__MAX","noble-shadow-43 - class_00/f1","noble-shadow-43 - class_00/f1__MIN","noble-shadow-43 - class_00/f1__MAX","noble-shadow-43 - class_01/f1","noble-shadow-43 - class_01/f1__MIN","noble-shadow-43 - class_01/f1__MAX","noble-shadow-43 - class_02/f1","noble-shadow-43 - class_02/f1__MIN","noble-shadow-43 - class_02/f1__MAX","noble-shadow-43 - class_03/f1","noble-shadow-43 - class_03/f1__MIN","noble-shadow-43 - class_03/f1__MAX","noble-shadow-43 - class_04/f1","noble-shadow-43 - class_04/f1__MIN","noble-shadow-43 - class_04/f1__MAX","noble-shadow-43 - class_05/f1","noble-shadow-43 - class_05/f1__MIN","noble-shadow-43 - class_05/f1__MAX","noble-shadow-43 - class_06/f1","noble-shadow-43 - class_06/f1__MIN","noble-shadow-43 - class_06/f1__MAX","noble-shadow-43 - class_07/f1","noble-shadow-43 - class_07/f1__MIN","noble-shadow-43 - class_07/f1__MAX","noble-shadow-43 - class_08/f1","noble-shadow-43 - class_08/f1__MIN","noble-shadow-43 - class_08/f1__MAX","noble-shadow-43 - class_09/f1","noble-shadow-43 - class_09/f1__MIN","noble-shadow-43 - class_09/f1__MAX","noble-shadow-43 - class_10/f1","noble-shadow-43 - class_10/f1__MIN","noble-shadow-43 - class_10/f1__MAX","noble-shadow-43 - class_11/f1","noble-shadow-43 - class_11/f1__MIN","noble-shadow-43 - class_11/f1__MAX","noble-shadow-43 - class_12/f1","noble-shadow-43 - class_12/f1__MIN","noble-shadow-43 - class_12/f1__MAX","noble-shadow-43 - class_13/f1","noble-shadow-43 - class_13/f1__MIN","noble-shadow-43 - class_13/f1__MAX","noble-shadow-43 - class_14/f1","noble-shadow-43 - class_14/f1__MIN","noble-shadow-43 - class_14/f1__MAX","noble-shadow-43 - class_15/f1","noble-shadow-43 - class_15/f1__MIN","noble-shadow-43 - class_15/f1__MAX","noble-shadow-43 - class_16/f1","noble-shadow-43 - class_16/f1__MIN","noble-shadow-43 - class_16/f1__MAX","noble-shadow-43 - class_17/f1","noble-shadow-43 - class_17/f1__MIN","noble-shadow-43 - class_17/f1__MAX","noble-shadow-43 - class_18/f1","noble-shadow-43 - class_18/f1__MIN","noble-shadow-43 - class_18/f1__MAX","noble-shadow-43 - class_19/f1","noble-shadow-43 - class_19/f1__MIN","noble-shadow-43 - class_19/f1__MAX","noble-shadow-43 - class_20/f1","noble-shadow-43 - class_20/f1__MIN","noble-shadow-43 - class_20/f1__MAX","noble-shadow-43 - class_21/f1","noble-shadow-43 - class_21/f1__MIN","noble-shadow-43 - class_21/f1__MAX","noble-shadow-43 - class_22/f1","noble-shadow-43 - class_22/f1__MIN","noble-shadow-43 - class_22/f1__MAX","noble-shadow-43 - class_23/f1","noble-shadow-43 - class_23/f1__MIN","noble-shadow-43 - class_23/f1__MAX","noble-shadow-43 - class_24/f1","noble-shadow-43 - class_24/f1__MIN","noble-shadow-43 - class_24/f1__MAX","noble-shadow-43 - class_25/f1","noble-shadow-43 - class_25/f1__MIN","noble-shadow-43 - class_25/f1__MAX","noble-shadow-43 - class_26/f1","noble-shadow-43 - class_26/f1__MIN","noble-shadow-43 - class_26/f1__MAX","noble-shadow-43 - class_27/f1","noble-shadow-43 - class_27/f1__MIN","noble-shadow-43 - class_27/f1__MAX","noble-shadow-43 - class_28/f1","noble-shadow-43 - class_28/f1__MIN","noble-shadow-43 - class_28/f1__MAX","noble-shadow-43 - class_29/f1","noble-shadow-43 - class_29/f1__MIN","noble-shadow-43 - class_29/f1__MAX","noble-shadow-43 - class_30/f1","noble-shadow-43 - class_30/f1__MIN","noble-shadow-43 - class_30/f1__MAX","noble-shadow-43 - class_31/f1","noble-shadow-43 - class_31/f1__MIN","noble-shadow-43 - class_31/f1__MAX","noble-shadow-43 - class_32/f1","noble-shadow-43 - class_32/f1__MIN","noble-shadow-43 - class_32/f1__MAX","noble-shadow-43 - class_33/f1","noble-shadow-43 - class_33/f1__MIN","noble-shadow-43 - class_33/f1__MAX","noble-shadow-43 - class_34/f1","noble-shadow-43 - class_34/f1__MIN","noble-shadow-43 - class_34/f1__MAX","noble-shadow-43 - class_35/f1","noble-shadow-43 - class_35/f1__MIN","noble-shadow-43 - class_35/f1__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.35172413793103446","0.35172413793103446","0.35172413793103446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5671191553544495","0.5671191553544495","0.5671191553544495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2777777777777778","0.2777777777777778","0.2777777777777778","0.31645569620253167","0.31645569620253167","0.31645569620253167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8541666666666667","0.8541666666666667","0.8541666666666667","0.6445733222866612","0.6445733222866612","0.6445733222866612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15053763440860216","0.15053763440860216","0.15053763440860216","0.38016528925619836","0.38016528925619836","0.38016528925619836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.43243243243243246","0.43243243243243246","0.43243243243243246","0","0","0","0","0","0","0.4","0.4","0.4","0","0","0","0","0","0","0","0","0","0.8148148148148148","0.8148148148148148","0.8148148148148148","0","0","0","0","0","0","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.9021739130434784","0.9021739130434784","0.9021739130434784","0.648506151142355","0.648506151142355","0.648506151142355","0","0","0","0.25","0.25","0.25","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","4","4","0.03773584905660377","0.03773584905660377","0.03773584905660377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.34","0.34","0.34","0.41229656419529837","0.41229656419529837","0.41229656419529837","0","0","0","0","0","0","0.16129032258064518","0.16129032258064518","0.16129032258064518","0","0","0","0.03571428571428572","0.03571428571428572","0.03571428571428572","0","0","0","0","0","0","0.4","0.4","0.4","0","0","0","0","0","0","0","0","0","0.15384615384615383","0.15384615384615383","0.15384615384615383","0","0","0","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.7857142857142856","0.7857142857142856","0.7857142857142856","0","0","0","0","0","0","1","1","1","0.9265536723163842","0.9265536723163842","0.9265536723163842","0.6996197718631179","0.6996197718631179","0.6996197718631179","0","0","0","0","0","0","0","0","0","0.1739130434782609","0.1739130434782609","0.1739130434782609","0","0","0","0","0","0"
"5","5","5","5","0.013071895424836602","0.013071895424836602","0.013071895424836602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3891050583657588","0.3891050583657588","0.3891050583657588","0.4731182795698925","0.4731182795698925","0.4731182795698925","0","0","0","0","0","0","0.24999999999999997","0.24999999999999997","0.24999999999999997","0.12903225806451613","0.12903225806451613","0.12903225806451613","0.21333333333333335","0.21333333333333335","0.21333333333333335","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.631578947368421","0.631578947368421","0.631578947368421","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1904761904761905","0.1904761904761905","0.1904761904761905","0","0","0","0.8695652173913043","0.8695652173913043","0.8695652173913043","0.7857142857142856","0.7857142857142856","0.7857142857142856","0","0","0","0","0","0","0.8750000000000001","0.8750000000000001","0.8750000000000001","0.9028571428571427","0.9028571428571427","0.9028571428571427","0.733201581027668","0.733201581027668","0.733201581027668","0","0","0","0.4","0.4","0.4","0","0","0","0.7555555555555556","0.7555555555555556","0.7555555555555556","0.39999999999999997","0.39999999999999997","0.39999999999999997","0","0","0"
"6","6","6","6","0.33125","0.33125","0.33125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7277777777777779","0.7277777777777779","0.7277777777777779","0.5470459518599563","0.5470459518599563","0.5470459518599563","0","0","0","0","0","0","0.4262295081967214","0.4262295081967214","0.4262295081967214","0.06666666666666667","0.06666666666666667","0.06666666666666667","0","0","0","0","0","0","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.7999999999999999","0.7999999999999999","0.7999999999999999","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.1904761904761905","0.1904761904761905","0.1904761904761905","0","0","0","0.8799999999999999","0.8799999999999999","0.8799999999999999","0.7857142857142856","0.7857142857142856","0.7857142857142856","0","0","0","0","0","0","1","1","1","0.9265536723163842","0.9265536723163842","0.9265536723163842","0.7394957983193277","0.7394957983193277","0.7394957983193277","0","0","0","0.5454545454545454","0.5454545454545454","0.5454545454545454","0","0","0","0.7317073170731706","0.7317073170731706","0.7317073170731706","0.39999999999999997","0.39999999999999997","0.39999999999999997","0","0","0"
"7","7","7","7","0.4186046511627908","0.4186046511627908","0.4186046511627908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7244094488188976","0.7244094488188976","0.7244094488188976","0.6126126126126126","0.6126126126126126","0.6126126126126126","0","0","0","0","0","0","0.2828282828282828","0.2828282828282828","0.2828282828282828","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.27272727272727276","0.27272727272727276","0.27272727272727276","0.4814814814814815","0.4814814814814815","0.4814814814814815","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.5","0.5","0.5","0","0","0","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.8799999999999999","0.8799999999999999","0.8799999999999999","0.8275862068965518","0.8275862068965518","0.8275862068965518","0","0","0","0","0","0","1","1","1","0.8924731182795699","0.8924731182795699","0.8924731182795699","0.7355371900826447","0.7355371900826447","0.7355371900826447","0.4","0.4","0.4","0.4761904761904762","0.4761904761904762","0.4761904761904762","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.4210526315789474","0.4210526315789474","0.4210526315789474","0","0","0"
"8","8","8","8","0.39610389610389607","0.39610389610389607","0.39610389610389607","0","0","0","0","0","0","0.3111111111111111","0.3111111111111111","0.3111111111111111","0","0","0","0","0","0","0","0","0","0","0","0","0.6857142857142857","0.6857142857142857","0.6857142857142857","0.6030769230769232","0.6030769230769232","0.6030769230769232","0","0","0","0.40625","0.40625","0.40625","0.4821428571428571","0.4821428571428571","0.4821428571428571","0.1212121212121212","0.1212121212121212","0.1212121212121212","0.16393442622950818","0.16393442622950818","0.16393442622950818","0.4576271186440678","0.4576271186440678","0.4576271186440678","0.5081967213114755","0.5081967213114755","0.5081967213114755","0.5384615384615384","0.5384615384615384","0.5384615384615384","0","0","0","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.33333333333333337","0.33333333333333337","0.33333333333333337","0","0","0","0.8148148148148148","0.8148148148148148","0.8148148148148148","0.8275862068965518","0.8275862068965518","0.8275862068965518","0","0","0","0","0","0","1","1","1","0.9248554913294798","0.9248554913294798","0.9248554913294798","0.7429171038824764","0.7429171038824764","0.7429171038824764","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5833333333333334","0.5833333333333334","0.5833333333333334","0","0","0","0.717948717948718","0.717948717948718","0.717948717948718","0.4444444444444444","0.4444444444444444","0.4444444444444444","0","0","0"
"9","9","9","9","0.4347826086956522","0.4347826086956522","0.4347826086956522","0","0","0","0","0","0","0.7088607594936709","0.7088607594936709","0.7088607594936709","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0","0.7098765432098765","0.7098765432098765","0.7098765432098765","0.6404199475065616","0.6404199475065616","0.6404199475065616","0","0","0","0.5301204819277109","0.5301204819277109","0.5301204819277109","0.3908045977011494","0.3908045977011494","0.3908045977011494","0.06451612903225806","0.06451612903225806","0.06451612903225806","0.23880597014925373","0.23880597014925373","0.23880597014925373","0.4715447154471545","0.4715447154471545","0.4715447154471545","0.43165467625899284","0.43165467625899284","0.43165467625899284","0.5454545454545454","0.5454545454545454","0.5454545454545454","0","0","0","0.6829268292682926","0.6829268292682926","0.6829268292682926","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.24999999999999994","0.24999999999999994","0.24999999999999994","0","0","0","0.8799999999999999","0.8799999999999999","0.8799999999999999","0.846153846153846","0.846153846153846","0.846153846153846","0","0","0","0","0","0","1","1","1","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.7425149700598803","0.7425149700598803","0.7425149700598803","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5599999999999999","0.5599999999999999","0.5599999999999999","0","0","0","0.6842105263157895","0.6842105263157895","0.6842105263157895","0.4210526315789474","0.4210526315789474","0.4210526315789474","0","0","0"